text,label
I think I feel alright at the moment,0
I think I feel alright right now,0
I think I feel alright after the fall,0
I think I can continue walking,0
I think I can continue walking now,0
I think I can continue walking at the moment,0
I think I can continue walking right now,0
I think I can continue walking after the fall,0
I think Nothing happened,0
I think Nothing happened now,0
I think Nothing happened at the moment,0
I think Nothing happened right now,0
I think Nothing happened after the fall,0
I think I recovered,0
I think I recovered now,0
I think I recovered at the moment,0
I think I recovered right now,0
I think I recovered after the fall,0
I think I'm still standing,0
I think I'm still standing now,0
I think I'm still standing at the moment,0
I think I'm still standing right now,0
I think I'm still standing after the fall,0
I think Saya okay,0
I think Saya okay now,0
I think Saya okay at the moment,0
I think Saya okay right now,0
I think Saya okay after the fall,0
I think Saya tidak apa apa,0
I think Saya tidak apa apa now,0
I think Saya tidak apa apa at the moment,0
I think Saya tidak apa apa right now,0
I think Saya tidak apa apa after the fall,0
I think Saya baik,0
I think Saya baik now,0
I think Saya baik at the moment,0
I think Saya baik right now,0
I think Saya baik after the fall,0
I think Saya selamat,0
I think Saya selamat now,0
I think Saya selamat at the moment,0
I think Saya selamat right now,0
I think Saya selamat after the fall,0
I think Tiada masalah,0
I think Tiada masalah now,0
I think Tiada masalah at the moment,0
I think Tiada masalah right now,0
I think Tiada masalah after the fall,0
I think Saya tidak cedera,0
I think Saya tidak cedera now,0
I think Saya tidak cedera at the moment,0
I think Saya tidak cedera right now,0
I think Saya tidak cedera after the fall,0
I think Saya boleh berjalan,0
I think Saya boleh berjalan now,0
I think Saya boleh berjalan at the moment,0
I think Saya boleh berjalan right now,0
I think Saya boleh berjalan after the fall,0
I think Saya boleh berdiri,0
I think Saya boleh berdiri now,0
I think Saya boleh berdiri at the moment,0
I think Saya boleh berdiri right now,0
I think Saya boleh berdiri after the fall,0
I think Saya tidak perlukan bantuan,0
I think Saya tidak perlukan bantuan now,0
I think Saya tidak perlukan bantuan at the moment,0
I think Saya tidak perlukan bantuan right now,0
I think Saya tidak perlukan bantuan after the fall,0
I think Semuanya baik,0
I think Semuanya baik now,0
I think Semuanya baik at the moment,0
I think Semuanya baik right now,0
I think Semuanya baik after the fall,0
I think Tiada kecemasan,0
I think Tiada kecemasan now,0
I think Tiada kecemasan at the moment,0
I think Tiada kecemasan right now,0
I think Tiada kecemasan after the fall,0
I think Saya sihat,0
I think Saya sihat now,0
I think Saya sihat at the moment,0
I think Saya sihat right now,0
I think Saya sihat after the fall,0
I think Saya rasa baik,0
I think Saya rasa baik now,0
I think Saya rasa baik at the moment,0
I think Saya rasa baik right now,0
I think Saya rasa baik after the fall,0
I think 我没事,0
I think 我没事 now,0
I think 我没事 at the moment,0
I think 我没事 right now,0
I think 我没事 after the fall,0
I think 我很好,0
I think 我很好 now,0
I think 我很好 at the moment,0
I think 我很好 right now,0
I think 我很好 after the fall,0
I think 没问题,0
I think 没问题 now,0
I think 没问题 at the moment,0
I think 没问题 right now,0
I think 没问题 after the fall,0
I think 我很安全,0
I think 我很安全 now,0
I think 我很安全 at the moment,0
I think 我很安全 right now,0
I think 我很安全 after the fall,0
I think 我没有受伤,0
I think 我没有受伤 now,0
I think 我没有受伤 at the moment,0
I think 我没有受伤 right now,0
I think 我没有受伤 after the fall,0
I think 我可以走路,0
I think 我可以走路 now,0
I think 我可以走路 at the moment,0
I think 我可以走路 right now,0
I think 我可以走路 after the fall,0
I think 我可以站起来,0
I think 我可以站起来 now,0
I think 我可以站起来 at the moment,0
I think 我可以站起来 right now,0
I think 我可以站起来 after the fall,0
I think 我不需要帮助,0
I think 我不需要帮助 now,0
I think 我不需要帮助 at the moment,0
I think 我不需要帮助 right now,0
I think 我不需要帮助 after the fall,0
I think 一切都很好,0
I think 一切都很好 now,0
I think 一切都很好 at the moment,0
I think 一切都很好 right now,0
I think 一切都很好 after the fall,0
I think 没有紧急情况,0
I think 没有紧急情况 now,0
I think 没有紧急情况 at the moment,0
I think 没有紧急情况 right now,0
I think 没有紧急情况 after the fall,0
I think 我感觉很好,0
I think 我感觉很好 now,0
I think 我感觉很好 at the moment,0
I think 我感觉很好 right now,0
I think 我感觉很好 after the fall,0
I think 我恢复了,0
I think 我恢复了 now,0
I think 我恢复了 at the moment,0
I think 我恢复了 right now,0
I think 我恢复了 after the fall,0
I think 我还能站着,0
I think 我还能站着 now,0
I think 我还能站着 at the moment,0
I think 我还能站着 right now,0
I think 我还能站着 after the fall,0
Actually I'm okay,0
Actually I'm okay now,0
Actually I'm okay at the moment,0
Actually I'm okay right now,0
Actually I'm okay after the fall,0
Actually I am okay,0
Actually I am okay now,0
Actually I am okay at the moment,0
Actually I am okay right now,0
Actually I am okay after the fall,0
Actually I'm fine,0
Actually I'm fine now,0
Actually I'm fine at the moment,0
Actually I'm fine right now,0
Actually I'm fine after the fall,0
Actually Everything is fine,0
Actually Everything is fine now,0
Actually Everything is fine at the moment,0
Actually Everything is fine right now,0
Actually Everything is fine after the fall,0
Actually Everything is okay,0
Actually Everything is okay now,0
Actually Everything is okay at the moment,0
Actually Everything is okay right now,0
Actually Everything is okay after the fall,0
Actually No problem,0
Actually No problem now,0
Actually No problem at the moment,0
Actually No problem right now,0
Actually No problem after the fall,0
Actually False alarm,0
Actually False alarm now,0
Actually False alarm at the moment,0
Actually False alarm right now,0
Actually False alarm after the fall,0
Actually I can walk,0
Actually I can walk now,0
Actually I can walk at the moment,0
Actually I can walk right now,0
Actually I can walk after the fall,0
Actually I can stand,0
Actually I can stand now,0
Actually I can stand at the moment,0
Actually I can stand right now,0
Actually I can stand after the fall,0
Actually I am safe,0
Actually I am safe now,0
Actually I am safe at the moment,0
Actually I am safe right now,0
Actually I am safe after the fall,0
Actually I am not injured,0
Actually I am not injured now,0
Actually I am not injured at the moment,0
Actually I am not injured right now,0
Actually I am not injured after the fall,0
Actually I don't need help,0
Actually I don't need help now,0
Actually I don't need help at the moment,0
Actually I don't need help right now,0
Actually I don't need help after the fall,0
Actually No emergency,0
Actually No emergency now,0
Actually No emergency at the moment,0
Actually No emergency right now,0
Actually No emergency after the fall,0
Actually I feel good,0
Actually I feel good now,0
Actually I feel good at the moment,0
Actually I feel good right now,0
Actually I feel good after the fall,0
Actually I feel alright,0
Actually I feel alright now,0
Actually I feel alright at the moment,0
Actually I feel alright right now,0
Actually I feel alright after the fall,0
Actually I can continue walking,0
Actually I can continue walking now,0
Actually I can continue walking at the moment,0
Actually I can continue walking right now,0
Actually I can continue walking after the fall,0
Actually Nothing happened,0
Actually Nothing happened now,0
Actually Nothing happened at the moment,0
Actually Nothing happened right now,0
Actually Nothing happened after the fall,0
Actually I recovered,0
Actually I recovered now,0
Actually I recovered at the moment,0
Actually I recovered right now,0
Actually I recovered after the fall,0
Actually I'm still standing,0
Actually I'm still standing now,0
Actually I'm still standing at the moment,0
Actually I'm still standing right now,0
Actually I'm still standing after the fall,0
Actually Saya okay,0
Actually Saya okay now,0
Actually Saya okay at the moment,0
Actually Saya okay right now,0
Actually Saya okay after the fall,0
Actually Saya tidak apa apa,0
Actually Saya tidak apa apa now,0
Actually Saya tidak apa apa at the moment,0
Actually Saya tidak apa apa right now,0
Actually Saya tidak apa apa after the fall,0
Actually Saya baik,0
Actually Saya baik now,0
Actually Saya baik at the moment,0
Actually Saya baik right now,0
Actually Saya baik after the fall,0
Actually Saya selamat,0
Actually Saya selamat now,0
Actually Saya selamat at the moment,0
Actually Saya selamat right now,0
Actually Saya selamat after the fall,0
Actually Tiada masalah,0
Actually Tiada masalah now,0
Actually Tiada masalah at the moment,0
Actually Tiada masalah right now,0
Actually Tiada masalah after the fall,0
Actually Saya tidak cedera,0
Actually Saya tidak cedera now,0
Actually Saya tidak cedera at the moment,0
Actually Saya tidak cedera right now,0
Actually Saya tidak cedera after the fall,0
Actually Saya boleh berjalan,0
Actually Saya boleh berjalan now,0
Actually Saya boleh berjalan at the moment,0
Actually Saya boleh berjalan right now,0
Actually Saya boleh berjalan after the fall,0
Actually Saya boleh berdiri,0
Actually Saya boleh berdiri now,0
Actually Saya boleh berdiri at the moment,0
Actually Saya boleh berdiri right now,0
Actually Saya boleh berdiri after the fall,0
Actually Saya tidak perlukan bantuan,0
Actually Saya tidak perlukan bantuan now,0
Actually Saya tidak perlukan bantuan at the moment,0
Actually Saya tidak perlukan bantuan right now,0
Actually Saya tidak perlukan bantuan after the fall,0
Actually Semuanya baik,0
Actually Semuanya baik now,0
Actually Semuanya baik at the moment,0
Actually Semuanya baik right now,0
Actually Semuanya baik after the fall,0
Actually Tiada kecemasan,0
Actually Tiada kecemasan now,0
Actually Tiada kecemasan at the moment,0
Actually Tiada kecemasan right now,0
Actually Tiada kecemasan after the fall,0
Actually Saya sihat,0
Actually Saya sihat now,0
Actually Saya sihat at the moment,0
Actually Saya sihat right now,0
Actually Saya sihat after the fall,0
Actually Saya rasa baik,0
Actually Saya rasa baik now,0
Actually Saya rasa baik at the moment,0
Actually Saya rasa baik right now,0
Actually Saya rasa baik after the fall,0
Actually 我没事,0
Actually 我没事 now,0
Actually 我没事 at the moment,0
Actually 我没事 right now,0
Actually 我没事 after the fall,0
Actually 我很好,0
Actually 我很好 now,0
Actually 我很好 at the moment,0
Actually 我很好 right now,0
Actually 我很好 after the fall,0
Actually 没问题,0
Actually 没问题 now,0
Actually 没问题 at the moment,0
Actually 没问题 right now,0
Actually 没问题 after the fall,0
Actually 我很安全,0
Actually 我很安全 now,0
Actually 我很安全 at the moment,0
Actually 我很安全 right now,0
Actually 我很安全 after the fall,0
Actually 我没有受伤,0
Actually 我没有受伤 now,0
Actually 我没有受伤 at the moment,0
Actually 我没有受伤 right now,0
Actually 我没有受伤 after the fall,0
Actually 我可以走路,0
Actually 我可以走路 now,0
Actually 我可以走路 at the moment,0
Actually 我可以走路 right now,0
Actually 我可以走路 after the fall,0
Actually 我可以站起来,0
Actually 我可以站起来 now,0
Actually 我可以站起来 at the moment,0
Actually 我可以站起来 right now,0
Actually 我可以站起来 after the fall,0
Actually 我不需要帮助,0
Actually 我不需要帮助 now,0
Actually 我不需要帮助 at the moment,0
Actually 我不需要帮助 right now,0
Actually 我不需要帮助 after the fall,0
Actually 一切都很好,0
Actually 一切都很好 now,0
Actually 一切都很好 at the moment,0
Actually 一切都很好 right now,0
Actually 一切都很好 after the fall,0
Actually 没有紧急情况,0
Actually 没有紧急情况 now,0
Actually 没有紧急情况 at the moment,0
Actually 没有紧急情况 right now,0
Actually 没有紧急情况 after the fall,0
Actually 我感觉很好,0
Actually 我感觉很好 now,0
Actually 我感觉很好 at the moment,0
Actually 我感觉很好 right now,0
Actually 我感觉很好 after the fall,0
Actually 我恢复了,0
Actually 我恢复了 now,0
Actually 我恢复了 at the moment,0
Actually 我恢复了 right now,0
Actually 我恢复了 after the fall,0
Actually 我还能站着,0
Actually 我还能站着 now,0
Actually 我还能站着 at the moment,0
Actually 我还能站着 right now,0
Actually 我还能站着 after the fall,0
Honestly I'm okay,0
Honestly I'm okay now,0
Honestly I'm okay at the moment,0
Honestly I'm okay right now,0
Honestly I'm okay after the fall,0
Honestly I am okay,0
Honestly I am okay now,0
Honestly I am okay at the moment,0
Honestly I am okay right now,0
Honestly I am okay after the fall,0
Honestly I'm fine,0
Honestly I'm fine now,0
Honestly I'm fine at the moment,0
Honestly I'm fine right now,0
Honestly I'm fine after the fall,0
Honestly Everything is fine,0
Honestly Everything is fine now,0
Honestly Everything is fine at the moment,0
Honestly Everything is fine right now,0
Honestly Everything is fine after the fall,0
Honestly Everything is okay,0
Honestly Everything is okay now,0
Honestly Everything is okay at the moment,0
Honestly Everything is okay right now,0
Honestly Everything is okay after the fall,0
Honestly No problem,0
Honestly No problem now,0
Honestly No problem at the moment,0
Honestly No problem right now,0
Honestly No problem after the fall,0
Honestly False alarm,0
Honestly False alarm now,0
Honestly False alarm at the moment,0
Honestly False alarm right now,0
Honestly False alarm after the fall,0
Honestly I can walk,0
Honestly I can walk now,0
Honestly I can walk at the moment,0
Honestly I can walk right now,0
Honestly I can walk after the fall,0
Honestly I can stand,0
Honestly I can stand now,0
Honestly I can stand at the moment,0
Honestly I can stand right now,0
Honestly I can stand after the fall,0
Honestly I am safe,0
Honestly I am safe now,0
Honestly I am safe at the moment,0
Honestly I am safe right now,0
Honestly I am safe after the fall,0
Honestly I am not injured,0
Honestly I am not injured now,0
Honestly I am not injured at the moment,0
Honestly I am not injured right now,0
Honestly I am not injured after the fall,0
Honestly I don't need help,0
Honestly I don't need help now,0
Honestly I don't need help at the moment,0
Honestly I don't need help right now,0
Honestly I don't need help after the fall,0
Honestly No emergency,0
Honestly No emergency now,0
Honestly No emergency at the moment,0
Honestly No emergency right now,0
Honestly No emergency after the fall,0
Honestly I feel good,0
Honestly I feel good now,0
Honestly I feel good at the moment,0
Honestly I feel good right now,0
Honestly I feel good after the fall,0
Honestly I feel alright,0
Honestly I feel alright now,0
Honestly I feel alright at the moment,0
Honestly I feel alright right now,0
Honestly I feel alright after the fall,0
Honestly I can continue walking,0
Honestly I can continue walking now,0
Honestly I can continue walking at the moment,0
Honestly I can continue walking right now,0
Honestly I can continue walking after the fall,0
Honestly Nothing happened,0
Honestly Nothing happened now,0
Honestly Nothing happened at the moment,0
Honestly Nothing happened right now,0
Honestly Nothing happened after the fall,0
Honestly I recovered,0
Honestly I recovered now,0
Honestly I recovered at the moment,0
Honestly I recovered right now,0
Honestly I recovered after the fall,0
Honestly I'm still standing,0
Honestly I'm still standing now,0
Honestly I'm still standing at the moment,0
Honestly I'm still standing right now,0
Honestly I'm still standing after the fall,0
Honestly Saya okay,0
Honestly Saya okay now,0
Honestly Saya okay at the moment,0
Honestly Saya okay right now,0
Honestly Saya okay after the fall,0
Honestly Saya tidak apa apa,0
Honestly Saya tidak apa apa now,0
Honestly Saya tidak apa apa at the moment,0
Honestly Saya tidak apa apa right now,0
Honestly Saya tidak apa apa after the fall,0
Honestly Saya baik,0
Honestly Saya baik now,0
Honestly Saya baik at the moment,0
Honestly Saya baik right now,0
Honestly Saya baik after the fall,0
Honestly Saya selamat,0
Honestly Saya selamat now,0
Honestly Saya selamat at the moment,0
Honestly Saya selamat right now,0
Honestly Saya selamat after the fall,0
Honestly Tiada masalah,0
Honestly Tiada masalah now,0
Honestly Tiada masalah at the moment,0
Honestly Tiada masalah right now,0
Honestly Tiada masalah after the fall,0
Honestly Saya tidak cedera,0
Honestly Saya tidak cedera now,0
Honestly Saya tidak cedera at the moment,0
Honestly Saya tidak cedera right now,0
Honestly Saya tidak cedera after the fall,0
Honestly Saya boleh berjalan,0
Honestly Saya boleh berjalan now,0
Honestly Saya boleh berjalan at the moment,0
Honestly Saya boleh berjalan right now,0
Honestly Saya boleh berjalan after the fall,0
Honestly Saya boleh berdiri,0
Honestly Saya boleh berdiri now,0
Honestly Saya boleh berdiri at the moment,0
Honestly Saya boleh berdiri right now,0
Honestly Saya boleh berdiri after the fall,0
Honestly Saya tidak perlukan bantuan,0
Honestly Saya tidak perlukan bantuan now,0
Honestly Saya tidak perlukan bantuan at the moment,0
Honestly Saya tidak perlukan bantuan right now,0
Honestly Saya tidak perlukan bantuan after the fall,0
Honestly Semuanya baik,0
Honestly Semuanya baik now,0
Honestly Semuanya baik at the moment,0
Honestly Semuanya baik right now,0
Honestly Semuanya baik after the fall,0
Honestly Tiada kecemasan,0
Honestly Tiada kecemasan now,0
Honestly Tiada kecemasan at the moment,0
Honestly Tiada kecemasan right now,0
Honestly Tiada kecemasan after the fall,0
Honestly Saya sihat,0
Honestly Saya sihat now,0
Honestly Saya sihat at the moment,0
Honestly Saya sihat right now,0
Honestly Saya sihat after the fall,0
Honestly Saya rasa baik,0
Honestly Saya rasa baik now,0
Honestly Saya rasa baik at the moment,0
Honestly Saya rasa baik right now,0
Honestly Saya rasa baik after the fall,0
Honestly 我没事,0
Honestly 我没事 now,0
Honestly 我没事 at the moment,0
Honestly 我没事 right now,0
Honestly 我没事 after the fall,0
Honestly 我很好,0
Honestly 我很好 now,0
Honestly 我很好 at the moment,0
Honestly 我很好 right now,0
Honestly 我很好 after the fall,0
Honestly 没问题,0
Honestly 没问题 now,0
Honestly 没问题 at the moment,0
Honestly 没问题 right now,0
Honestly 没问题 after the fall,0
Honestly 我很安全,0
Honestly 我很安全 now,0
Honestly 我很安全 at the moment,0
Honestly 我很安全 right now,0
Honestly 我很安全 after the fall,0
Honestly 我没有受伤,0
Honestly 我没有受伤 now,0
Honestly 我没有受伤 at the moment,0
Honestly 我没有受伤 right now,0
Honestly 我没有受伤 after the fall,0
Honestly 我可以走路,0
Honestly 我可以走路 now,0
Honestly 我可以走路 at the moment,0
Honestly 我可以走路 right now,0
Honestly 我可以走路 after the fall,0
Honestly 我可以站起来,0
Honestly 我可以站起来 now,0
Honestly 我可以站起来 at the moment,0
Honestly 我可以站起来 right now,0
Honestly 我可以站起来 after the fall,0
Honestly 我不需要帮助,0
Honestly 我不需要帮助 now,0
Honestly 我不需要帮助 at the moment,0
Honestly 我不需要帮助 right now,0
Honestly 我不需要帮助 after the fall,0
Honestly 一切都很好,0
Honestly 一切都很好 now,0
Honestly 一切都很好 at the moment,0
Honestly 一切都很好 right now,0
Honestly 一切都很好 after the fall,0
Honestly 没有紧急情况,0
Honestly 没有紧急情况 now,0
Honestly 没有紧急情况 at the moment,0
Honestly 没有紧急情况 right now,0
Honestly 没有紧急情况 after the fall,0
Honestly 我感觉很好,0
Honestly 我感觉很好 now,0
Honestly 我感觉很好 at the moment,0
Honestly 我感觉很好 right now,0
Honestly 我感觉很好 after the fall,0
Honestly 我恢复了,0
Honestly 我恢复了 now,0
Honestly 我恢复了 at the moment,0
Honestly 我恢复了 right now,0
Honestly 我恢复了 after the fall,0
Honestly 我还能站着,0
Honestly 我还能站着 now,0
Honestly 我还能站着 at the moment,0
Honestly 我还能站着 right now,0
Honestly 我还能站着 after the fall,0
Luckily I'm okay,0
Luckily I'm okay now,0
Luckily I'm okay at the moment,0
Luckily I'm okay right now,0
Luckily I'm okay after the fall,0
Luckily I am okay,0
Luckily I am okay now,0
Luckily I am okay at the moment,0
Luckily I am okay right now,0
Luckily I am okay after the fall,0
Luckily I'm fine,0
Luckily I'm fine now,0
Luckily I'm fine at the moment,0
Luckily I'm fine right now,0
Luckily I'm fine after the fall,0
Luckily Everything is fine,0
Luckily Everything is fine now,0
Luckily Everything is fine at the moment,0
Luckily Everything is fine right now,0
Luckily Everything is fine after the fall,0
Luckily Everything is okay,0
Luckily Everything is okay now,0
Luckily Everything is okay at the moment,0
Luckily Everything is okay right now,0
Luckily Everything is okay after the fall,0
Luckily No problem,0
Luckily No problem now,0
Luckily No problem at the moment,0
Luckily No problem right now,0
Luckily No problem after the fall,0
Luckily False alarm,0
Luckily False alarm now,0
Luckily False alarm at the moment,0
Luckily False alarm right now,0
Luckily False alarm after the fall,0
Luckily I can walk,0
Luckily I can walk now,0
Luckily I can walk at the moment,0
Luckily I can walk right now,0
Luckily I can walk after the fall,0
Luckily I can stand,0
Luckily I can stand now,0
Luckily I can stand at the moment,0
Luckily I can stand right now,0
Luckily I can stand after the fall,0
Luckily I am safe,0
Luckily I am safe now,0
Luckily I am safe at the moment,0
Luckily I am safe right now,0
Luckily I am safe after the fall,0
Luckily I am not injured,0
Luckily I am not injured now,0
Luckily I am not injured at the moment,0
Luckily I am not injured right now,0
Luckily I am not injured after the fall,0
Luckily I don't need help,0
Luckily I don't need help now,0
Luckily I don't need help at the moment,0
Luckily I don't need help right now,0
Luckily I don't need help after the fall,0
Luckily No emergency,0
Luckily No emergency now,0
Luckily No emergency at the moment,0
Luckily No emergency right now,0
Luckily No emergency after the fall,0
Luckily I feel good,0
Luckily I feel good now,0
Luckily I feel good at the moment,0
Luckily I feel good right now,0
Luckily I feel good after the fall,0
Luckily I feel alright,0
Luckily I feel alright now,0
Luckily I feel alright at the moment,0
Luckily I feel alright right now,0
Luckily I feel alright after the fall,0
Luckily I can continue walking,0
Luckily I can continue walking now,0
Luckily I can continue walking at the moment,0
Luckily I can continue walking right now,0
Luckily I can continue walking after the fall,0
Luckily Nothing happened,0
Luckily Nothing happened now,0
Luckily Nothing happened at the moment,0
Luckily Nothing happened right now,0
Luckily Nothing happened after the fall,0
Luckily I recovered,0
Luckily I recovered now,0
Luckily I recovered at the moment,0
Luckily I recovered right now,0
Luckily I recovered after the fall,0
Luckily I'm still standing,0
Luckily I'm still standing now,0
Luckily I'm still standing at the moment,0
Luckily I'm still standing right now,0
Luckily I'm still standing after the fall,0
Luckily Saya okay,0
Luckily Saya okay now,0
Luckily Saya okay at the moment,0
Luckily Saya okay right now,0
Luckily Saya okay after the fall,0
Luckily Saya tidak apa apa,0
Luckily Saya tidak apa apa now,0
Luckily Saya tidak apa apa at the moment,0
Luckily Saya tidak apa apa right now,0
Luckily Saya tidak apa apa after the fall,0
Luckily Saya baik,0
Luckily Saya baik now,0
Luckily Saya baik at the moment,0
Luckily Saya baik right now,0
Luckily Saya baik after the fall,0
Luckily Saya selamat,0
